vehicle_lat,vehicle_long,nearest_city,state_admin1,country_code
40.37556848,-77.01431774,Duncannon,Pennsylvania,US
33.50781834,-117.0369024,Temecula,California,US
30.02063979,-75.26922404,Cooper's Town,North Abaco,BS
36.64922251,-70.1905293,Nantucket,Massachusetts,US
30.00127928,-70.01219476,Hamilton,Hamilton city,BM
47.86454911,-119.9983857,Chelan,Washington,US
33.84639038,-95.94011786,Honey Grove,Texas,US
32.60188466,-102.316635,Seminole,Texas,US
39.78719415,-90.89791849,Barry,Illinois,US
47.72849911,-113.4135606,Seeley Lake,Montana,US
33.94773092,-89.51334722,Bruce,Mississippi,US
33.47381274,-70.00060314,Hamilton,Hamilton city,BM
31.02423581,-74.12216232,Harkers Island,North Carolina,US
49.5652525,-83.84753499,Hearst,Ontario,CA
46.91671774,-78.80056147,Temiscaming,Quebec,CA
30.02353101,-113.5446668,La Libertad,Sonora,MX
44.24001896,-78.48705927,Omemee,Ontario,CA
42.06526903,-100.5419546,Thedford,Nebraska,US
30.33019653,-70.00096008,Hamilton,Hamilton city,BM
30.00513756,-94.51323203,Sour Lake,Texas,US
31.26742797,-71.48449219,Buxton,North Carolina,US
32.77780729,-81.74929829,Sylvania,Georgia,US
45.73032771,-70.4165042,Saint-Come--Liniere,Quebec,CA
30.68060663,-70.65092247,Hamilton,Hamilton city,BM
30.05637647,-84.58532912,Carrabelle,Florida,US
39.05978978,-97.9375232,Lincoln,Kansas,US
45.53983733,-70.65246698,Lac-Megantic,Quebec,CA
32.07653913,-76.82880722,Southport,North Carolina,US
30.21299812,-84.30932886,Crawfordville,Florida,US
30.03097702,-96.00412471,Prairie View,Texas,US
47.71288144,-70.81209868,Baie-Saint-Paul,Quebec,CA
30.00006367,-77.80184375,Cooper's Town,North Abaco,BS
49.51234169,-84.54621955,Hornepayne,Ontario,CA
44.72804403,-90.96583513,Augusta,Wisconsin,US
47.23078146,-74.3048639,Saint-Michel-des-Saints,Quebec,CA
35.193067,-98.51014841,Carnegie,Oklahoma,US
39.81031689,-89.2225923,Harristown,Illinois,US
30.17224695,-71.79966209,Buxton,North Carolina,US
41.38629673,-89.33312405,Depue,Illinois,US
42.56997751,-75.30099274,New Berlin,New York,US
38.97591823,-77.23662389,Potomac,Maryland,US
30.08390622,-82.05207068,Starke,Florida,US
30.00743543,-85.24229165,Wewahitchka,Florida,US
32.92042371,-88.67670973,De Kalb,Mississippi,US
47.76451476,-71.38822946,Jonquiere,Quebec,CA
32.93710504,-77.84491339,Southport,North Carolina,US
42.85076083,-75.0991323,Richfield Springs,New York,US
39.7240678,-74.42365178,Ocean Acres,New Jersey,US
48.09617839,-70.00763294,La Malbaie,Quebec,CA
43.85825658,-97.63932678,Howard,South Dakota,US
31.85776181,-75.50091895,Harkers Island,North Carolina,US
30.00024697,-115.4921685,Luis Rodriguez (El Vergel),Baja California,MX
41.60326781,-119.7927964,Alturas,California,US
30.58983025,-88.83474086,Latimer,Mississippi,US
35.17164057,-95.6229443,Eufaula,Oklahoma,US
41.26855662,-91.42462773,Columbus Junction,Iowa,US
48.27493291,-81.53502889,Timmins,Ontario,CA
39.54437619,-117.1399493,Battle Mountain,Nevada,US
30.10065136,-90.91477381,Donaldsonville,Louisiana,US
47.89654637,-70.31260056,La Malbaie,Quebec,CA
30.51232008,-118.183015,Rodolfo Sanchez Taboada,Baja California,MX
30.89240035,-111.8486179,Altar,Sonora,MX
32.99469131,-85.09560904,La Grange,Georgia,US
39.49517118,-117.8916105,Fallon,Nevada,US
30.06591028,-71.83386024,Marsh Harbour,Central Abaco,BS
39.7810806,-70.2922649,Nantucket,Massachusetts,US
30.01612453,-74.37033991,Marsh Harbour,Central Abaco,BS
49.94306255,-79.82659301,La Sarre,Quebec,CA
43.8077265,-97.84508933,Alexandria,South Dakota,US
